Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Luke Kunin,MIN,C,33,7,5,12,-13,21,67,1,0,0,0,0,35,29
Anthony DeAngelo,NYR,D,33,7,16,23,0,19,60,1,2,5,0,0,17,21
David Krejci,BOS,C,28,7,16,23,15,6,42,2,2,4,0,0,23,17
Michael Grabner,ARI,RW,33,7,3,10,7,6,46,0,0,0,1,0,16,5
Kris Letang,PIT,D,25,7,15,22,6,8,86,1,1,5,0,0,42,32
Jamie Benn,DAL,C,35,7,9,16,-1,14,88,3,3,2,0,0,84,32
Josh Leivo,VAN,LW,34,7,10,17,1,4,67,0,0,3,0,0,15,7
Frank Vatrano,FLA,LW,33,7,6,13,-6,10,78,0,1,0,1,0,33,31
Filip Hronek,DET,D,33,7,11,18,-12,17,68,0,1,4,0,0,45,39
Ivan Provorov,PHI,D,33,7,13,20,5,16,72,3,4,6,0,0,35,53
Vladislav Namestnikov,OTT,C,31,7,9,16,-2,29,54,2,1,2,1,2,46,25
Tyler Johnson,TB,C,27,7,7,14,0,2,55,1,0,3,0,0,33,5
Jonathan Toews,CHI,C,34,7,17,24,-5,28,86,2,1,3,0,0,26,18
Dustin Brown,LA,RW,35,7,11,18,2,12,86,0,0,2,0,0,81,7
Radek Faksa,DAL,C,35,7,6,13,-3,14,60,2,1,0,0,0,39,21
Dylan Strome,CHI,C,30,7,16,23,7,10,43,0,2,4,0,0,12,11
Clayton Keller,ARI,C,35,7,16,23,-5,12,107,0,1,10,0,0,12,4
Victor Hedman,TB,D,29,7,21,28,-3,17,67,1,3,13,0,0,34,42
Joe Pavelski,DAL,RW,35,7,8,15,1,16,67,2,3,2,0,0,26,26
Phil Kessel,ARI,RW,35,7,12,19,-18,10,85,0,6,5,0,0,9,16
Derick Brassard,NYI,C,31,7,10,17,2,8,52,1,1,3,0,0,54,15
Alex Pietrangelo,STL,D,35,7,17,24,3,8,105,2,3,9,0,1,19,39
Teuvo Teravainen,CAR,C,33,7,26,33,10,6,94,0,2,13,1,2,10,12
Jonathan Drouin,MON,C,19,7,8,15,4,6,44,1,1,3,0,0,22,4
Jakob Chychrun,ARI,D,35,7,6,13,2,26,80,1,2,1,0,0,41,57
Miro Heiskanen,DAL,D,35,7,14,21,9,6,89,0,0,4,0,0,12,49
Anthony Cirelli,TB,C,30,6,15,21,4,14,49,0,1,2,0,1,38,19
Max Domi,MON,C,33,6,14,20,4,14,82,1,1,7,0,0,13,6
Michael Amadio,LA,C,33,6,7,13,-3,6,55,0,0,3,0,0,16,11
Jujhar Khaira,EDM,C,34,6,0,6,-13,12,42,1,0,0,0,0,67,12
Jack Roslovic,WPG,RW,33,6,7,13,9,8,60,0,1,1,0,0,30,6
Cam Fowler,ANH,D,33,6,10,16,8,6,71,2,1,3,0,0,15,36
Denis Gurianov,DAL,RW,30,6,4,10,2,9,66,2,2,2,0,0,30,9
Nick Suzuki,MON,C,33,6,9,15,-3,4,51,0,2,2,0,0,25,13
Adam Gaudette,VAN,C,24,6,8,14,-2,6,31,0,3,3,0,0,15,13
Gabriel Landeskog,COL,LW,17,6,4,10,-3,20,39,2,1,2,0,0,34,8
Ryan Strome,NYR,C,33,6,22,28,6,22,46,2,1,7,0,0,18,15
Boone Jenner,CLS,LW,33,6,4,10,-13,22,69,0,1,1,0,0,60,33
Ryan Dzingel,CAR,C,33,6,12,18,1,19,52,1,3,2,0,0,16,12
Nick Schmaltz,ARI,RW,35,6,17,23,2,12,50,2,1,5,0,0,7,19
Ryan Donato,MIN,C,31,6,4,10,4,6,50,0,0,0,0,0,23,4
Ryan O'Reilly,STL,C,35,6,25,31,-2,4,59,2,2,9,0,0,13,19
Mathieu Perreault,WPG,C,33,6,6,12,-2,4,52,0,1,0,0,0,43,14
Ryan Nugent-Hopkins,EDM,LW,30,6,12,18,-7,16,71,2,4,6,0,0,19,21
Patrick Marleau,SJ,LW,31,6,5,11,-6,8,51,1,1,0,0,0,31,11
Nicklas Backstrom,WAS,C,27,6,17,23,-3,6,61,0,1,7,0,0,12,18
Viktor Arvidsson,NSH,LW,22,6,9,15,1,4,50,0,2,2,0,0,13,8
Jesper Bratt,NJ,LW,27,6,3,9,-10,2,37,1,0,0,0,0,10,8
Alexandre Texier,CLS,C,29,6,4,10,2,8,41,1,0,1,0,0,19,6
Kaapo Kakko,NYR,RW,31,6,8,14,-10,8,57,1,2,7,0,0,10,4
Warren Foegele,CAR,LW,33,6,8,14,7,10,65,0,0,0,2,0,40,9
Barclay Goodrow,SJ,LW,35,6,8,14,3,48,50,2,0,0,0,1,70,33
Ryan Johansen,NSH,C,32,6,13,19,-5,33,50,1,2,6,0,0,24,14
Matt Calvert,COL,LW,26,6,11,17,9,21,49,1,0,0,2,0,29,11
Taylor Hall,ARI,LW,30,6,19,25,-11,20,109,0,2,10,0,0,25,9
Patric Hornqvist,PIT,RW,20,6,5,11,3,17,50,1,1,1,0,0,50,20
Charlie Coyle,BOS,C,34,6,10,16,2,10,68,1,0,2,0,0,39,15
Valeri Nichushkin,COL,LW,29,6,4,10,10,5,55,2,0,0,1,0,37,11
Lawson Crouse,ARI,LW,31,6,3,9,-2,15,43,1,0,0,0,0,93,13
Andreas Johnsson,TOR,LW,30,6,10,16,2,14,66,1,4,1,0,0,30,13
Zach Hyman,TOR,RW,15,6,2,8,3,2,36,1,1,1,1,0,13,8
Alex Kerfoot,TOR,C,29,6,5,11,0,20,45,1,1,1,0,0,27,23
Brandon Tanev,PIT,LW,33,6,10,16,4,6,44,1,0,1,2,0,134,30
Martin Necas,CAR,C,29,6,10,16,-2,10,41,2,2,0,0,0,29,10
